2024-05-07 08:58:59.508 | DEBUG    | __main__:<module>:7 - This is a debug message.
2024-05-07 08:58:59.509 | INFO     | __main__:<module>:8 - This is an info message.
2024-05-07 08:58:59.510 | WARNING  | __main__:<module>:9 - This is a warning message.
2024-05-07 08:58:59.510 | ERROR    | __main__:<module>:10 - This is an error message.
2024-05-07 09:27:44.784 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:29:03.957 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:29:12.968 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:29:22.596 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:31:46.268 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:32:16.237 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:33:01.612 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:33:25.059 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:34:04.954 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:37:36.483 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:38:09.360 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:38:09.363 | DEBUG    | __main__:<module>:10 - ['__bool__', '__class__', '__delattr__', '__dir__', '__doc__', '__eq__', '__format__', '__ge__', '__getattribute__', '__gt__', '__hash__', '__init__', '__init_subclass__', '__le__', '__lt__', '__ne__', '__new__', '__reduce__', '__reduce_ex__', '__repr__', '__setattr__', '__sizeof__', '__str__', '__subclasshook__']
2024-05-07 09:38:36.819 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:38:36.821 | DEBUG    | __main__:<module>:10 - None
2024-05-07 09:39:27.399 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:40:19.032 | INFO     | __main__:<module>:7 - Init config.
2024-05-07 09:40:19.035 | DEBUG    | __main__:<module>:10 - 123
2024-05-07 09:44:50.047 | INFO     | __main__:<module>:8 - Init config.
2024-05-07 09:46:55.190 | INFO     | __main__:<module>:8 - Init config.
2024-05-07 09:46:55.193 | ERROR    | __main__:<module>:15 - File not exists.
2024-05-07 09:48:45.787 | INFO     | __main__:<module>:8 - Init config.
2024-05-07 09:50:16.989 | INFO     | __main__:<module>:8 - Init args.
2024-05-07 09:50:16.991 | INFO     | __main__:<module>:18 - Start translate to lang=zh.
2024-05-07 09:51:07.883 | INFO     | __main__:<module>:8 - Init args.
2024-05-07 09:51:19.463 | INFO     | __main__:<module>:8 - Init args.
2024-05-07 09:51:19.465 | INFO     | __main__:<module>:18 - Start translate to lang=zh,format=Markdown
2024-05-07 12:20:57.356 | INFO     | __main__:<module>:10 - Init args.
2024-05-07 12:21:07.163 | INFO     | __main__:<module>:10 - Init args.
2024-05-07 12:22:04.309 | INFO     | __main__:<module>:10 - Init args.
2024-05-07 12:24:29.884 | INFO     | __main__:<module>:10 - Init args.
2024-05-07 12:24:57.306 | INFO     | __main__:<module>:10 - Init args.
2024-05-07 12:25:18.492 | INFO     | __main__:<module>:10 - Init args.
2024-05-07 12:27:52.747 | INFO     | __main__:<module>:10 - Init args.
2024-05-07 12:28:06.525 | INFO     | __main__:<module>:10 - Init args.
2024-05-07 12:28:06.528 | INFO     | __main__:<module>:22 - Start translate to lang=zh,format=Markdown
2024-05-07 12:28:51.630 | INFO     | __main__:<module>:10 - Init args.
2024-05-07 12:28:51.633 | INFO     | __main__:<module>:22 - Start translate to lang=zh,format=Markdown
2024-05-07 12:30:23.434 | INFO     | __main__:<module>:10 - Init args.
